Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
Radio Regionalne,Krowica Lasowa,103.7,"23E10'22""","50N06'04""",WGS84,10.000000000000002,60.0,23.172778,50.101111,POINT (23.172778 50.101111)
Radio Maryja,Przemyśl Tatarska Góra,105.1,"22E45'57""","49N46'25""",WGS84,1.0,70.0,22.765833,49.773611,POINT (22.765833 49.773611)
Radio ZET,Lubań Nowa Karczma,89.4,"15E10'28""","51N08'58""",WGS84,27.542287033381665,90.0,15.174444,51.149444,POINT (15.174444 51.149444)
Radio ZET,Lubań Nowa Karczma,89.4,"15E10'28""","51N08'58""",WGS84,60.255958607435765,90.0,15.174444,51.149444,POINT (15.174444 51.149444)
Program 3,59-818 Nowa Karczma,91.5,"15E10'26""","51N08'59""",WGS84,60.255958607435765,90.0,15.173889,51.149722,POINT (15.173889 51.149722)
Program 1,59-818 Nowa Karczma,99.0,"15E10'26""","51N08'59""",WGS84,10.000000000000002,90.0,15.173889,51.149722,POINT (15.173889 51.149722)
"Złote Przeboje 106,2 FM",Łysa Góra k/ Dziwiszowa,106.2,"15E47'50""","50N57'40""",WGS84,1.0,62.0,15.797222,50.961111,POINT (15.797222 50.961111)
"Złote Przeboje 106,2 FM",Łysa Góra k/ Dziwiszowa,106.2,"15E48'07""","50N57'48""",WGS84,1.0,69.0,15.801944,50.963333,POINT (15.801944 50.963333)
Program 4 - Polskie Radio 24,Wałbrzych Chełmiec,94.3,"16E12'37""","50N46'43""",WGS84,0.5011872336272722,65.0,16.210278,50.778611,POINT (16.210278 50.778611)
Radio Maryja,Jelenie Góra ul. Karola Miarki 42,100.4,"15E42'43""","50N53'26""",WGS84,1.0,100.0,15.711944,50.890556,POINT (15.711944 50.890556)
Radio Maryja,Łysa Góra Dziwiszów,100.4,"15E48'06""","50N57'39""",WGS84,0.34673685045253144,50.0,15.801667,50.960833,POINT (15.801667 50.960833)
Program 4 - Polskie Radio 24,Legnica ul. Złotoryjska 194,103.3,"16E06'48""","51N11'05""",WGS84,0.30199517204020165,148.0,16.113333,51.184722,POINT (16.113333 51.184722)
Radio Plus Lublin,Piotrków,87.9,"22E38'55""","51N03'25""",WGS84,25.1188643150958,110.0,22.648611,51.056944,POINT (22.648611 51.056944)
Radio Plus Lublin,Piotrków,87.9,"22E38'55""","51N03'25""",WGS84,25.1188643150958,110.0,22.648611,51.056944,POINT (22.648611 51.056944)
RMF FM,Lublin Piaski,89.3,"22E52'04""","51N08'01""",WGS84,30.19951720402015,250.0,22.867778,51.133611,POINT (22.867778 51.133611)
Program 1,21-050 Giełczew,90.8,"22E52'12""","51N07'49""",WGS84,30.19951720402015,250.0,22.87,51.130278,POINT (22.87 51.130278)
Radio Lublin,Lublin Piaski,102.2,"22E52'04""","51N08'01""",WGS84,89.12509381337456,250.0,22.867778,51.133611,POINT (22.867778 51.133611)
Radio Regionalne,Lublin Boży Dar,102.2,"22E39'12""","51N00'17""",WGS84,7.943282347242818,183.0,22.653333,51.004722,POINT (22.653333 51.004722)
Program 3,Giełczew,104.2,"22E52'12""","51N07'49""",WGS84,89.12509381337456,250.0,22.87,51.130278,POINT (22.87 51.130278)
Radio ZET,Lublin Piaski,107.0,"22E52'04""","51N08'01""",WGS84,39.810717055349755,250.0,22.867778,51.133611,POINT (22.867778 51.133611)
RMF MAXXX - CZĘSTOCHOWA,"Częstochowa, ul. Koksowa 11",102.6,"19E10'51""","50N47'42""",WGS84,1.9952623149688797,153.0,19.180833,50.795,POINT (19.180833 50.795)
Radio Maryja,Katowice Kosztowy,103.7,"19E06'59""","50N11'19""",WGS84,3.0199517204020143,238.0,19.116389,50.188611,POINT (19.116389 50.188611)
Radio Maryja,"Siemianowice Śl., ul. Wróblewskiego 75",103.7,"19E00'20""","50N17'44""",WGS84,0.09999999999999998,85.0,19.005556,50.295556,POINT (19.005556 50.295556)
Radio Maryja,"Częstochowa, ul. Koksowa 11",107.0,"19E10'51""","50N47'42""",WGS84,10.000000000000002,135.0,19.180833,50.795,POINT (19.180833 50.795)
Radio Maryja,"Lębork/Czarnówko, Czarnówko 34",92.7,"17E42'10""","54N34'16""",WGS84,7.0794578438413795,70.0,17.702778,54.571111,POINT (17.702778 54.571111)
Radio PLUS Koszalin,"Bierkowo, k. Słupska",99.5,"16E56'30""","54N29'07""",WGS84,1.0,124.0,16.941667,54.485278,POINT (16.941667 54.485278)
Program 1,Nowe Skórowo,100.5,"17E29'54""","54N29'42""",WGS84,10.000000000000002,59.0,17.498333,54.495,POINT (17.498333 54.495)
RMF FM,Lębork Skórowo,103.4,"17E30'00""","54N29'44""",WGS84,7.0794578438413795,59.0,17.5,54.495556,POINT (17.5 54.495556)
Program 3, Nowe Skórowo,106.3,"17E29'54""","54N29'42""",WGS84,5.011872336272723,59.0,17.498333,54.495,POINT (17.498333 54.495)
Radio Regionalne,Piła Rusinowo,88.1,"16E15'42""","53N10'13""",WGS84,3.0199517204020143,265.0,16.261667,53.170278,POINT (16.261667 53.170278)
RMF FM,Łobez Toporzyk,91.3,"16E03'52""","53N43'21""",WGS84,10.000000000000002,69.0,16.064444,53.7225,POINT (16.064444 53.7225)
Radio Maryja,Szczecinek Dalęcino,95.0,"16E37'17""","53N45'30""",WGS84,3.0199517204020143,45.0,16.621389,53.758333,POINT (16.621389 53.758333)
Program 4 - Polskie Radio 24,Łobez Toporzyk,100.6,"16E03'52""","53N43'21""",WGS84,3.0199517204020143,63.0,16.064444,53.7225,POINT (16.064444 53.7225)
Radio Maryja,Łobez Toporzyk,104.7,"16E03'52""","53N43'21""",WGS84,10.000000000000002,69.0,16.064444,53.7225,POINT (16.064444 53.7225)
ESKA Szczecinek,Łobez Toporzyk,106.5,"16E03'52""","53N43'21""",WGS84,3.0199517204020143,78.0,16.064444,53.7225,POINT (16.064444 53.7225)
Program 1,"Kutno, ul. Metalowa 10",101.6,"19E24'16""","52N12'34""",WGS84,10.000000000000002,148.0,19.404444,52.209444,POINT (19.404444 52.209444)
RADIO VICTORIA MIĘDZY ŁODZIĄ A WARSZAWĄ,Łowicz ul. Seminaryjna 6 A,103.5,"19E56'36""","52N06'59""",WGS84,5.011872336272723,106.0,19.943333,52.116389,POINT (19.943333 52.116389)
ESKA Warszawa,Warszawa Rondo ONZ 1,105.6,"20E59'58""","52N13'58""",WGS84,5.011872336272723,185.0,20.999444,52.232778,POINT (20.999444 52.232778)
ESKA Warszawa,Warszawa ul.Chmielna 69/73,105.6,"21E00'00""","52N13'44""",WGS84,5.011872336272723,286.0,21.0,52.228889,POINT (21 52.228889)
PR II,Łódź ul. Andrzejewskiej 5,91.4,"19E32'17""","51N44'44""",WGS84,10.000000000000002,222.0,19.538056,51.745556,POINT (19.538056 51.745556)
RMF FM,Łódź,93.5,"19E32'16""","51N44'44""",WGS84,10.000000000000002,222.0,19.537778,51.745556,POINT (19.537778 51.745556)
RMF FM,Łódź,93.5,"19E32'16""","51N44'44""",WGS84,10.000000000000002,222.0,19.537778,51.745556,POINT (19.537778 51.745556)
PR III,"Łódź, ul. Andrzejewskiej 5",103.8,"19E32'17""","51N44'44""",WGS84,10.000000000000002,222.0,19.538056,51.745556,POINT (19.538056 51.745556)
PR I,Łódź ul Andrzejewskiej 5,107.8,"19E32'17""","51N44'44""",WGS84,30.19951720402015,222.0,19.538056,51.745556,POINT (19.538056 51.745556)
Program 1,Łódź ul Andrzejewskiej 5,107.8,"19E32'17""","51N44'44""",WGS84,30.19951720402015,222.0,19.538056,51.745556,POINT (19.538056 51.745556)
Radio Maryja,Łódź ul. Andrzejewskiej 5,87.9,"19E32'16""","51N44'44""",WGS84,10.000000000000002,245.0,19.537778,51.745556,POINT (19.537778 51.745556)
Antyradio,"Łódź, ul. Traugutta 25",89.6,"19E27'53""","51N45'59""",WGS84,1.1220184543019636,80.0,19.464722,51.766389,POINT (19.464722 51.766389)
ESKA Łódź,"Łódź, ul. Andrzejewskiej 5",90.1,"19E32'16""","51N44'44""",WGS84,1.9952623149688797,222.0,19.537778,51.745556,POINT (19.537778 51.745556)
ESKA Łódź,"Łódź, ul. Andrzejewskiej 5",90.1,"19E32'16""","51N44'44""",WGS84,1.9952623149688797,222.0,19.537778,51.745556,POINT (19.537778 51.745556)
Radio Plus Łódź,"Łódź, ul. Andrzejewskiej 5",100.4,"19E32'16""","51N44'44""",WGS84,5.011872336272723,222.0,19.537778,51.745556,POINT (19.537778 51.745556)
Program 4 - Polskie Radio 24,Łódź ul. Andrzejewskiej  5,107.3,"19E32'17""","51N44'44""",WGS84,1.5135612484362084,222.0,19.538056,51.745556,POINT (19.538056 51.745556)
Radio Leliwa,Mielec,102.4,"21E26'08""","50N17'52""",WGS84,1.0,60.0,21.435556,50.297778,POINT (21.435556 50.297778)
Radio Maryja,Stalowa Wola ul. Energetyków 13,104.4,"22E04'32""","50N33'20""",WGS84,1.0,110.0,22.075556,50.555556,POINT (22.075556 50.555556)
Radio Regionalne,ul. Jana Pawła II 25a,105.5,"22E03'32""","50N34'35""",WGS84,0.09999999999999998,65.0,22.058889,50.576389,POINT (22.058889 50.576389)
Radio Rzeszów,"Stalowa Wola, ul. Jana Pawła II 25a",105.5,"22E03'32""","50N34'35""",WGS84,0.09999999999999998,65.0,22.058889,50.576389,POINT (22.058889 50.576389)
Program 3,Wichów,87.8,"15E28'48""","51N44'49""",WGS84,30.19951720402015,200.0,15.48,51.746944,POINT (15.48 51.746944)
RMF FM,Żagań Wichów,94.8,"15E28'34""","51N44'52""",WGS84,30.19951720402015,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
RMF FM,Żagań Wichów,94.8,"15E28'34""","51N44'52""",WGS84,30.19951720402015,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Radio ZET,Żagań Wichów,97.5,"15E28'34""","51N44'52""",WGS84,30.19951720402015,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Radio ZET,Żagań Wichów,97.5,"15E28'34""","51N44'52""",WGS84,30.19951720402015,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Radio Maryja,Głogów,100.6,"16E00'31""","51N35'43""",WGS84,10.000000000000002,57.0,16.008611,51.595278,POINT (16.008611 51.595278)
Radio Plus Legnica,"Polkowice, ul. Kopalniana 1",102.6,"16E03'52""","51N28'48""",WGS84,19.952623149688804,200.0,16.064444,51.48,POINT (16.064444 51.48)
Radio Plus Legnica,Jakubów,102.6,"16E00'21""","51N35'49""",WGS84,19.952623149688804,51.0,16.005833,51.596944,POINT (16.005833 51.596944)
Radio Regionalne,Wichów,106.0,"15E28'41""","51N44'54""",WGS84,30.19951720402015,200.0,15.478056,51.748333,POINT (15.478056 51.748333)
Program 2,Olsztyn ul. Masztowa 1,93.7,"20E31'05""","53N45'11""",WGS84,2.5118864315095806,98.0,20.518056,53.753056,POINT (20.518056 53.753056)
Radio Maryja,Wysoka Wieś Dylewska Góra,100.4,"19E56'22""","53N32'58""",WGS84,0.8128305161640995,45.0,19.939444,53.549444,POINT (19.939444 53.549444)
Radio Maryja,Wysoka Wieś Dylewska Góra,100.4,"19E56'22""","53N32'58""",WGS84,5.011872336272723,45.0,19.939444,53.549444,POINT (19.939444 53.549444)
Program 4 - Polskie Radio 24,Limża,104.8,"19E13'07""","53N36'49""",WGS84,5.011872336272723,250.0,19.218611,53.613611,POINT (19.218611 53.613611)
Radio Regionalne,Cielęta,106.9,"19E27'35""","53N13'56""",WGS84,10.000000000000002,55.0,19.459722,53.232222,POINT (19.459722 53.232222)
Program 1,"10-664 Olsztyn, ul. Masztowa 1",93.0,"20E31'05""","53N45'11""",WGS84,30.19951720402015,278.0,20.518056,53.753056,POINT (20.518056 53.753056)
RMF FM,Olsztyn Pieczewo,95.3,"20E31'07""","53N45'12""",WGS84,60.255958607435765,280.0,20.518611,53.753333,POINT (20.518611 53.753333)
Program 3,Olsztyn ul. Masztowa 1,99.1,"20E31'05""","53N45'11""",WGS84,120.22644346174125,278.0,20.518056,53.753056,POINT (20.518056 53.753056)
Radio ZET,Olsztyn Pieczewo,105.7,"20E31'07""","53N45'12""",WGS84,19.952623149688804,280.0,20.518611,53.753333,POINT (20.518611 53.753333)
Radio ZET,Olsztyn Pieczewo,105.7,"20E31'07""","53N45'12""",WGS84,19.952623149688804,280.0,20.518611,53.753333,POINT (20.518611 53.753333)
Radio Maryja,Olsztyn Pieczewo,107.7,"20E31'07""","53N45'12""",WGS84,19.952623149688804,280.0,20.518611,53.753333,POINT (20.518611 53.753333)
Radio Maryja,"Olsztyn, ul. Erwina Kruka 39",107.7,"20E29'08""","53N46'47""",WGS84,0.5011872336272722,45.0,20.485556,53.779722,POINT (20.485556 53.779722)
Radio Regionalne,"Radom, ul. Przytycka",89.1,"21E06'46""","51N24'34""",WGS84,5.011872336272723,125.0,21.112778,51.409444,POINT (21.112778 51.409444)
PR I,26-400 Kozłowiec,92.0,"20E34'15""","51N21'32""",WGS84,10.000000000000002,160.0,20.570833,51.358889,POINT (20.570833 51.358889)
Program 1,Kozłowiec,92.0,"20E34'19""","51N21'31""",WGS84,10.000000000000002,160.0,20.571944,51.358611,POINT (20.571944 51.358611)
Radio Maryja,"Skierniewice, ul. Jana III Sobieskiego 83",95.4,"20E10'15""","51N58'17""",WGS84,5.011872336272723,122.0,20.170833,51.971389,POINT (20.170833 51.971389)
Radio ZET,Przysucha Kozłowiec,102.9,"20E34'08""","51N21'31""",WGS84,12.022644346174122,160.0,20.568889,51.358611,POINT (20.568889 51.358611)
PR II,26-400 Kozłowiec,104.8,"20E34'15""","51N21'32""",WGS84,10.000000000000002,160.0,20.570833,51.358889,POINT (20.570833 51.358889)
Program 2,Kozłowiec,104.8,"20E34'19""","51N21'31""",WGS84,10.000000000000002,160.0,20.571944,51.358611,POINT (20.571944 51.358611)
ESKA Radom,"Radom, ul. Żelazna 18",106.9,"21E06'26""","51N21'19""",WGS84,10.000000000000002,107.0,21.107222,51.355278,POINT (21.107222 51.355278)
ESKA Radom,"Radom, ul. Przytycka 2",106.9,"21E06'26""","51N21'19""",WGS84,3.4673685045253153,107.0,21.107222,51.355278,POINT (21.107222 51.355278)
Program 1,48-220 Chrzelice,88.3,"17E43'41""","50N29'43""",WGS84,60.255958607435765,168.0,17.728056,50.495278,POINT (17.728056 50.495278)
Program 3,48-220 Chrzelice,90.3,"17E43'41""","50N29'43""",WGS84,60.255958607435765,168.0,17.728056,50.495278,POINT (17.728056 50.495278)
RMF FM,Opole Chrzelice,95.3,"17E43'38""","50N29'41""",WGS84,60.255958607435765,176.0,17.727222,50.494722,POINT (17.727222 50.494722)
Program Regionalny,Opole Chrzelice,103.2,"17E43'38""","50N29'41""",WGS84,60.255958607435765,168.0,17.727222,50.494722,POINT (17.727222 50.494722)
Program Regionalny,Opole ul. Harcerska 15,103.2,"17E55'13""","50N41'12""",WGS84,3.0199517204020143,132.0,17.920278,50.686667,POINT (17.920278 50.686667)
WAWA Opole,"Opole, ul. Harcerska 15",105.7,"17E54'56""","50N41'06""",WGS84,1.0,145.0,17.915556,50.685,POINT (17.915556 50.685)
WAWA Opole,"Opole, ul. Harcerska 15",105.7,"17E54'56""","50N41'06""",WGS84,1.0,148.0,17.915556,50.685,POINT (17.915556 50.685)
RADIO DOXA, Elektrownia Opole,107.9,"17E52'53""","50N44'58""",WGS84,10.000000000000002,230.0,17.881389,50.749444,POINT (17.881389 50.749444)
RADIO DOXA,Wysoka g. Św. Anny,89.6,"18E09'12""","50N27'56""",WGS84,1.0,45.0,18.153333,50.465556,POINT (18.153333 50.465556)
Radio ZET,Opole ul. Harcerska 15,92.2,"17E54'56""","50N41'06""",WGS84,10.000000000000002,132.0,17.915556,50.685,POINT (17.915556 50.685)
Program 2,Chrzelice,94.5,"17E43'41""","50N29'43""",WGS84,10.000000000000002,130.0,17.728056,50.495278,POINT (17.728056 50.495278)
Radio Regionalne,"Opole, ul. Piastowska 19a",101.2,"17E55'18""","50N39'52""",WGS84,1.0,41.0,17.921667,50.664444,POINT (17.921667 50.664444)
Radio Regionalne,"Opole, ul. Piastowska 19a",101.2,"17E55'18""","50N39'52""",WGS84,1.0,41.0,17.921667,50.664444,POINT (17.921667 50.664444)
Radio Maryja,Wysoka Góra Św. Anny,104.6,"18E09'19""","50N27'58""",WGS84,1.9952623149688797,35.0,18.155278,50.466111,POINT (18.155278 50.466111)
"Rock Radio 106,6 FM",Wysoka Góra Św. Anny,106.6,"18E09'12""","50N27'56""",WGS84,3.9810717055349727,33.0,18.153333,50.465556,POINT (18.153333 50.465556)
RMF FM,Ostrołęka Ławy ul. Przemysłowa 2,91.5,"21E37'35""","53N04'41""",WGS84,30.19951720402015,101.0,21.626389,53.078056,POINT (21.626389 53.078056)
Program 2,Ostrołęka Ławy ul. Przemysłowa 2,96.3,"21E37'42""","53N04'42""",WGS84,5.011872336272723,101.0,21.628333,53.078333,POINT (21.628333 53.078333)
Program 3,Ostrołęka Ławy ul. Przemysłowa 2,98.5,"21E37'42""","53N04'42""",WGS84,10.000000000000002,101.0,21.628333,53.078333,POINT (21.628333 53.078333)
Radio Regionalne,Ostrołęka ul. Kopernika,100.8,"21E34'27""","53N05'14""",WGS84,0.251188643150958,82.0,21.574167,53.087222,POINT (21.574167 53.087222)
Radio ZET,Ostrołęka Ławy ul. Przemysłowa 2,102.8,"21E37'35""","53N04'41""",WGS84,10.000000000000002,101.0,21.626389,53.078056,POINT (21.626389 53.078056)
Radio ZET,Ostrołęka Ławy ul. Przemysłowa 2,102.8,"21E37'35""","53N04'41""",WGS84,10.000000000000002,101.0,21.626389,53.078056,POINT (21.626389 53.078056)
Program 1,Ostrołęka Ławy ul. Przemysłowa 2,106.7,"21E37'42""","53N04'42""",WGS84,10.000000000000002,101.0,21.628333,53.078333,POINT (21.628333 53.078333)
Radio Regionalne,Ostrów Mazowiecka Podborze,87.6,"21E55'43""","52N49'27""",WGS84,1.0,39.0,21.928611,52.824167,POINT (21.928611 52.824167)
Radio OKO,"Ostrołęka Ławy, ul. Przemysłowa 2",88.5,"21E37'35""","53N04'41""",WGS84,0.5011872336272722,114.0,21.626389,53.078056,POINT (21.626389 53.078056)
Radio Maryja,Ostrów Mazowiecka,100.4,"21E55'24""","52N49'20""",WGS84,10.000000000000002,85.0,21.923333,52.822222,POINT (21.923333 52.822222)
Program 2, Warszawa ul. Chmielna 69/73,104.9,"21E00'00""","52N13'44""",WGS84,2.5118864315095806,286.0,21.0,52.228889,POINT (21 52.228889)
TOK FM - Pierwsze Radio Informacyjne,"Zduńska Wola, ul. Murarska 21",105.4,"18E58'05""","51N35'59""",WGS84,1.9952623149688797,110.0,18.968056,51.599722,POINT (18.968056 51.599722)
Program 3,Piła Rusinowo,90.9,"16E15'42""","53N10'13""",WGS84,30.19951720402015,265.0,16.261667,53.170278,POINT (16.261667 53.170278)
RMF FM,Piła Rusinowo,96.6,"16E15'42""","53N10'13""",WGS84,30.19951720402015,265.0,16.261667,53.170278,POINT (16.261667 53.170278)
Radio ZET,Piła Rusinowo,97.9,"16E15'42""","53N10'13""",WGS84,60.255958607435765,265.0,16.261667,53.170278,POINT (16.261667 53.170278)
Program 1,Piła Rusinowo,101.9,"16E15'42""","53N10'13""",WGS84,30.19951720402015,265.0,16.261667,53.170278,POINT (16.261667 53.170278)
Radio Regionalne,Piła Rusinowo,103.6,"16E15'41""","53N10'14""",WGS84,60.255958607435765,265.0,16.261389,53.170556,POINT (16.261389 53.170556)
ESKA Piła,"Piła, Al. Piastów 15",105.6,"16E44'16""","53N09'02""",WGS84,1.0,70.0,16.737778,53.150556,POINT (16.737778 53.150556)
ESKA Piła,"Piła, Al. Piastów 15",105.6,"16E44'16""","53N09'02""",WGS84,1.0,70.0,16.737778,53.150556,POINT (16.737778 53.150556)
Program 1,"11-513 Miłki, ul. Jeziorna 2",97.1,"21E50'43""","53N56'17""",WGS84,6.025595860743574,238.0,21.845278,53.938056,POINT (21.845278 53.938056)
Radio Maryja,Liski k/Pisza,101.6,"21E55'39""","53N34'21""",WGS84,10.000000000000002,45.0,21.9275,53.5725,POINT (21.9275 53.5725)
Diecezjalne Radio Nadzieja,"Łomża, ul. Ciepła 16",103.6,"22E01'56""","53N10'14""",WGS84,10.000000000000002,128.0,22.032222,53.170556,POINT (22.032222 53.170556)
Program 1,Rachocin,92.2,"19E38'59""","52N53'29""",WGS84,60.255958607435765,204.0,19.649722,52.891389,POINT (19.649722 52.891389)
RMF FM,Płock Rachocin,94.3,"19E38'59""","52N53'29""",WGS84,60.255958607435765,204.0,19.649722,52.891389,POINT (19.649722 52.891389)
Program 3,Rachocin,96.1,"19E38'59""","52N53'29""",WGS84,60.255958607435765,204.0,19.649722,52.891389,POINT (19.649722 52.891389)
Radio Regionalne,Płock Rachocin,101.9,"19E38'59""","52N53'29""",WGS84,60.255958607435765,204.0,19.649722,52.891389,POINT (19.649722 52.891389)
KRDP - Katolickie Radio Diecezji Płockiej,Płock ul. Chemików 7,104.3,"19E41'17""","52N35'00""",WGS84,1.0,163.0,19.688056,52.583333,POINT (19.688056 52.583333)
Radio Maryja,Płock Rachocin,106.3,"19E38'59""","52N53'29""",WGS84,60.255958607435765,204.0,19.649722,52.891389,POINT (19.649722 52.891389)
Radio Maryja,"Płock, ul. Tartaczna 2",106.3,"19E39'32""","52N31'40""",WGS84,0.5011872336272722,108.0,19.658889,52.527778,POINT (19.658889 52.527778)
Radio Regionalne,Bolewice,102.4,"16E08'25""","52N23'59""",WGS84,3.0199517204020143,75.0,16.140278,52.399722,POINT (16.140278 52.399722)
Radio Maryja,Rosko,104.5,"16E19'37""","52N51'53""",WGS84,5.011872336272723,49.0,16.326944,52.864722,POINT (16.326944 52.864722)
Program 2,"64-305 Bolewice, ul. Szkolna 71",107.7,"16E08'25""","52N23'59""",WGS84,10.000000000000002,75.0,16.140278,52.399722,POINT (16.140278 52.399722)
Program 2,"64-305 Bolewice, ul. Szkolna 71",107.7,"16E08'25""","52N23'59""",WGS84,10.000000000000002,75.0,16.140278,52.399722,POINT (16.140278 52.399722)
Program 1,Poznań Śrem,92.3,"16E59'05""","52N07'02""",WGS84,120.22644346174125,234.0,16.984722,52.117222,POINT (16.984722 52.117222)
RMF FM,Poznań Śrem,94.6,"16E59'05""","52N07'02""",WGS84,120.22644346174125,234.0,16.984722,52.117222,POINT (16.984722 52.117222)
Program 3,Poznań Śrem,96.4,"16E59'05""","52N07'02""",WGS84,120.22644346174125,234.0,16.984722,52.117222,POINT (16.984722 52.117222)
Radio Regionalne,Poznań ul. Szymanowskiego 17,100.9,"16E54'20""","52N27'33""",WGS84,1.0,112.0,16.905556,52.459167,POINT (16.905556 52.459167)
Radio Regionalne,Poznań Śrem,100.9,"16E59'03""","52N07'02""",WGS84,120.22644346174125,234.0,16.984167,52.117222,POINT (16.984167 52.117222)
"Rock Radio 105,4 FM",Poznań,105.4,"16E59'23""","52N26'08""",WGS84,1.0,181.0,16.989722,52.435556,POINT (16.989722 52.435556)
Radio Maryja,Poznań Śrem,106.8,"16E59'05""","52N07'02""",WGS84,120.22644346174125,234.0,16.984722,52.117222,POINT (16.984722 52.117222)
Radio Maryja,"Poznań, ul. Szymanowskiego 17",106.8,"16E54'20""","52N27'33""",WGS84,1.0,107.0,16.905556,52.459167,POINT (16.905556 52.459167)
ESKA Poznań,"Poznań, ul. Gdyńska 54",93.0,"16E59'23""","52N26'08""",WGS84,10.000000000000002,166.0,16.989722,52.435556,POINT (16.989722 52.435556)
Radio ZET,Mosina k/Poznania,97.0,"16E51'02""","52N14'20""",WGS84,30.19951720402015,132.0,16.850556,52.238889,POINT (16.850556 52.238889)
Radio ZET,Mosina k.Poznania,97.0,"16E51'02""","52N14'20""",WGS84,30.19951720402015,132.0,16.850556,52.238889,POINT (16.850556 52.238889)
"Meloradio 90,6 99,4",Poznań Śrem,99.4,"16E59'05""","52N07'02""",WGS84,10.715193052376064,173.0,16.984722,52.117222,POINT (16.984722 52.117222)
"Meloradio 90,6 99,4",Poznań Śrem,99.4,"16E59'05""","52N07'02""",WGS84,10.715193052376064,173.0,16.984722,52.117222,POINT (16.984722 52.117222)
Program Regionalny,Poznań Piątkowo,102.7,"16E54'20""","52N27'33""",WGS84,1.9952623149688797,112.0,16.905556,52.459167,POINT (16.905556 52.459167)
"107,4 VOX FM","Poznań, ul. Gdyńska 54",107.4,"16E59'23""","52N26'08""",WGS84,1.0,166.0,16.989722,52.435556,POINT (16.989722 52.435556)
"107,4 VOX FM","Poznań, ul. Gdyńska 54",107.4,"16E59'23""","52N26'08""",WGS84,1.0,166.0,16.989722,52.435556,POINT (16.989722 52.435556)
KRDP - Katolickie Radio Diecezji Płockiej,Ciechanów ul. Tysiąclecia 18,103.9,"20E36'13""","52N51'22""",WGS84,1.5135612484362084,117.0,20.603611,52.856111,POINT (20.603611 52.856111)
Program 1,"06-300 Przasnysz, ul. Szosa Ciechanowska 26",105.9,"20E51'43""","53N00'23""",WGS84,10.000000000000002,80.0,20.861944,53.006389,POINT (20.861944 53.006389)
